vehicle_id,make,model,year,vehicle_type,battery_capacity_kwh,rated_range_km,efficiency_wh_per_km,price_inr
1,Tata,Nexon EV,2024,SUV,40.5,465,138,1450000
2,Tata,Nexon EV Prime,2023,SUV,30.2,312,145,1449000
3,Tata,Tiago EV,2024,Hatchback,24.0,315,127,899000
4,Tata,Tigor EV,2023,Sedan,26.0,315,138,1299000
5,Tata,Punch EV,2024,SUV,35.0,421,132,1099000
6,MG,ZS EV,2024,SUV,50.3,461,152,2400000
7,MG,Comet EV,2023,Hatchback,17.3,230,150,799000
8,Hyundai,Kona Electric,2023,SUV,39.2,452,148,2400000
9,Hyundai,Ioniq 5,2024,SUV,72.6,631,153,4600000
10,Mahindra,XUV400,2024,SUV,39.4,456,152,1600000
11,Mahindra,BE 6,2025,SUV,79.0,682,163,2700000
12,BYD,Atto 3,2024,SUV,60.5,521,171,3400000
13,BYD,e6,2023,MPV,71.7,415,171,2955000
14,BYD,Seal,2024,Sedan,82.5,650,166,4100000
15,Kia,EV6,2024,SUV,77.4,708,168,6600000
16,Citroen,eC3,2023,Hatchback,29.2,320,167,1160000
17,Tesla,Model 3,2024,Sedan,60.0,602,142,4400000
18,Tesla,Model Y,2024,SUV,75.0,533,177,5900000
19,Volvo,XC40 Recharge,2024,SUV,78.0,418,187,5960000
20,BMW,i4,2024,Sedan,83.9,590,148,7290000
21,Mercedes,EQB,2024,SUV,66.5,423,177,7800000
22,Audi,Q8 e-tron,2024,SUV,95.0,505,190,10990000
23,Nissan,Leaf,2023,Hatchback,40.0,315,132,3999000
24,Mahindra,e2oPlus,2020,Hatchback,15.9,140,114,845000
25,Tata,Curvv EV,2024,SUV,45.0,502,138,1795000
